symbol,bids,asks,timestamp,datetime,nonce
XBTUSD,"[19886.5, 100.0]","[19898.5, 100.0]",,,
XBTUSD,"[19883.5, 100.0]","[19953.0, 20900.0]",,,
XBTUSD,"[19792.5, 40900.0]","[19961.0, 59000.0]",,,
XBTUSD,"[19773.5, 9000.0]","[19983.0, 59100.0]",,,
XBTUSD,"[19772.5, 52900.0]","[19999.0, 2100.0]",,,
XBTUSD,"[19752.5, 52800.0]","[20000.0, 100.0]",,,
XBTUSD,"[19733.0, 52800.0]","[20002.0, 2000.0]",,,
XBTUSD,"[19722.0, 200.0]","[20051.5, 53600.0]",,,
XBTUSD,"[19720.0, 5800.0]","[20071.5, 53700.0]",,,
XBTUSD,"[19713.5, 52700.0]","[20082.5, 600.0]",,,
XBTUSD,"[19696.0, 1000.0]","[20091.5, 53700.0]",,,
XBTUSD,"[19693.5, 52700.0]","[20111.5, 53800.0]",,,
XBTUSD,"[19674.0, 52600.0]","[20119.0, 100.0]",,,
XBTUSD,"[19654.5, 40700.0]","[20131.5, 53800.0]",,,
XBTUSD,"[19642.5, 500.0]","[20135.0, 10000.0]",,,
XBTUSD,"[19632.5, 300.0]","[20152.0, 53900.0]",,,
XBTUSD,"[19566.5, 100.0]","[20172.0, 54000.0]",,,
XBTUSD,"[19502.0, 4900.0]","[20192.0, 54000.0]",,,
XBTUSD,"[19500.5, 6000.0]","[20212.5, 54100.0]",,,
XBTUSD,"[19462.0, 3000.0]","[20232.5, 54100.0]",,,
XBTUSD,"[19417.0, 3000.0]","[20294.0, 3000.0]",,,
XBTUSD,"[19295.5, 800.0]","[20480.0, 100.0]",,,
XBTUSD,"[19253.0, 100.0]","[20516.0, 5000.0]",,,
XBTUSD,"[19232.0, 5000.0]","[20530.0, 100.0]",,,
XBTUSD,"[19190.0, 100.0]","[20563.0, 9100.0]",,,
